Symbol: B6Z19,,,,,,,Study: VOL,
Date Time,Symbol,Open,High,Low,Close,Change,Volume,Open Interest
4/20/2010,B6M10,1.5328,1.5431,1.5285,1.5361,0.0053,94428,121340
4/21/2010,B6M10,1.5372,1.5437,1.5326,1.5401,0.004,96596,121968
4/22/2010,B6M10,1.5408,1.5472,1.5337,1.5384,-0.0017,137824,118632
4/23/2010,B6M10,1.5382,1.54,1.5291,1.5369,-0.0015,131904,119836
4/26/2010,B6M10,1.5375,1.5498,1.5369,1.5454,0.0085,107986,119723
4/27/2010,B6M10,1.5454,1.5481,1.5236,1.5254,-0.02,164927,119871
4/28/2010,B6M10,1.5249,1.5285,1.5122,1.5191,-0.0063,166133,125625
4/29/2010,B6M10,1.5197,1.5341,1.5141,1.5331,0.014,127136,124493
4/30/2010,B6M10,1.5331,1.5389,1.525,1.5273,-0.0058,127461,122386
5/3/2010,B6M10,1.5315,1.5317,1.5208,1.5254,-0.0019,60494,125259
5/4/2010,B6M10,1.5237,1.5263,1.5088,1.5159,-0.0095,160712,133988
5/5/2010,B6M10,1.5137,1.5171,1.5066,1.51,-0.0059,154711,133655
5/6/2010,B6M10,1.5101,1.5148,1.465,1.4781,-0.0319,247442,141618
5/7/2010,B6M10,1.4783,1.4937,1.4476,1.4808,0.0027,307280,135385
5/10/2010,B6M10,1.4829,1.5054,1.4758,1.4877,0.0069,195308,143136
5/11/2010,B6M10,1.4855,1.5006,1.472,1.4951,0.0074,218784,142670
5/12/2010,B6M10,1.493,1.5043,1.4815,1.4819,-0.0132,154146,149356
5/13/2010,B6M10,1.4829,1.4916,1.4594,1.4639,-0.018,136356,154799
5/14/2010,B6M10,1.4592,1.4637,1.4495,1.4558,-0.0081,156735,149381
5/17/2010,B6M10,1.4518,1.4558,1.425,1.4476,-0.0082,155112,150869
5/18/2010,B6M10,1.4483,1.4522,1.4304,1.4321,-0.0155,142563,152357
5/19/2010,B6M10,1.4288,1.445,1.4236,1.4397,0.0076,170496,149150
5/20/2010,B6M10,1.445,1.446,1.4227,1.4417,0.002,171290,154088
5/21/2010,B6M10,1.4343,1.4498,1.4317,1.4472,0.0055,139478,150928
5/24/2010,B6M10,1.4462,1.4529,1.4352,1.4445,-0.0027,85463,151311
5/25/2010,B6M10,1.4411,1.4445,1.426,1.4365,-0.008,106704,151212
5/26/2010,B6M10,1.4429,1.4446,1.433,1.4411,0.0046,109873,146513
5/27/2010,B6M10,1.4373,1.4609,1.4373,1.4587,0.0176,140185,144185
5/28/2010,B6M10,1.4562,1.4613,1.4435,1.4488,-0.0099,126239,150416
6/1/2010,B6M10,1.4442,1.4724,1.4425,1.4663,0.0175,178832,149216
6/2/2010,B6M10,1.4646,1.4772,1.4554,1.4643,-0.002,136340,152543
6/3/2010,B6M10,1.4658,1.4744,1.4587,1.4637,-0.0006,94773,154004
6/4/2010,B6M10,1.4616,1.4682,1.445,1.4459,-0.0178,141295,156732
6/7/2010,B6M10,1.4425,1.4564,1.4387,1.447,0.0011,162164,159840
6/8/2010,B6M10,1.447,1.453,1.4346,1.4381,-0.0089,194624,167076
6/9/2010,B6M10,1.4455,1.4609,1.4394,1.4528,0.0147,161005,160500
6/10/2010,B6M10,1.4541,1.4722,1.4508,1.4702,0.0174,220875,161125
